160748,Yes,0,0,2,0,0,4,0,0,0,0,0,8,0,0,4,0,2,21,6,12,0,0,0,0,4,84,
160910,Yes,0,2,2,0,0,4,0,0,0,0,3,0,0,0,0,0,2,21,0,6,0,0,0,0,0,42,
160725,Yes,0,0,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0,21,6,12,0,0,0,0,4,84,
161002,Yes,2,2,0,3,0,4,0,0,0,0,0,8,0,0,0,0,2,0,4,9,0,0,0,0,4,63,
160837,Yes,0,2,0,3,0,4,0,0,0,0,0,8,0,0,0,0,0,21,6,15,0,0,0,0,0,105,
160846,Yes,2,2,0,3,0,4,0,0,0,0,0,8,0,0,4,0,0,21,4,0,0,0,0,12,4,63,
160737,Yes,0,2,2,0,0,4,0,0,0,0,3,0,0,0,0,0,2,21,2,6,0,0,0,0,8,42,
160424,Yes,4,0,0,3,0,4,0,0,0,0,3,0,0,0,4,0,2,21,0,6,0,0,0,0,0,42,
160429,Yes,0,2,0,3,0,4,0,0,0,0,3,0,0,15,0,0,2,21,0,6,0,0,0,0,0,42,
140834,Yes,4,2,0,3,0,4,0,0,0,0,3,0,0,0,4,0,2,21,2,0,0,0,0,8,4,42,
161011,Yes,4,2,2,0,0,4,0,0,0,0,0,8,0,0,0,0,0,21,0,6,0,0,0,0,0,42,
141205,Yes,4,2,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,2,0,0,42,
140847,Yes,4,2,2,0,0,4,0,0,0,0,0,8,0,0,4,0,0,21,4,9,0,0,0,0,4,63,
160930,Yes,0,2,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0,21,6,0,0,0,4,0,0,84,
140855,Yes,2,2,0,3,0,4,0,0,0,0,3,0,0,0,4,0,2,21,6,12,0,0,0,0,4,84,
160409,Yes,0,0,0,3,0,4,0,0,0,0,0,8,0,0,0,0,2,21,4,0,0,0,3,8,0,63,
140839,Yes,6,2,2,0,0,4,0,0,0,0,0,8,0,0,0,0,0,21,0,6,0,0,0,0,0,42,
160431,Yes,4,2,2,0,0,4,0,0,0,0,0,8,0,0,0,0,0,21,6,12,0,0,0,0,0,84,
141128,Yes,0,2,0,3,0,4,0,0,0,0,3,0,0,0,4,0,0,21,2,0,25,0,0,8,0,42,
140907,Yes,4,2,2,0,0,4,0,0,0,0,3,0,0,0,4,0,0,21,0,0,0,0,2,0,0,42,
141007,Yes,4,2,2,0,0,4,0,0,0,0,0,8,0,0,0,0,0,21,4,9,0,0,0,0,4,63,
160423,Yes,4,2,0,3,0,4,0,0,0,0,3,0,0,0,4,0,0,21,2,0,0,0,0,8,4,42,
160753,Yes,4,0,0,0,23,4,0,0,0,0,0,8,0,0,4,19,0,0,6,15,0,0,0,0,0,105,
161007,Yes,4,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,21,2,0,0,0,2,0,4,42,
141013,Yes,0,2,2,0,0,4,0,0,0,0,3,0,0,0,4,0,0,21,0,6,0,0,0,0,0,42,
160916,Yes,2,0,0,3,0,4,0,0,0,0,0,8,0,0,4,0,2,21,4,9,0,0,0,0,4,63,
160802,Yes,6,2,0,3,0,4,0,0,0,0,3,0,0,15,0,0,0,21,6,12,0,0,0,0,0,84,
160634,Yes,0,2,0,0,23,4,0,0,0,0,0,8,0,0,0,19,0,0,2,6,0,0,0,8,4,42,
141129,Yes,2,2,2,0,0,4,0,0,0,0,3,0,0,0,4,0,0,21,4,0,0,57,0,0,4,63,
160746,Yes,4,2,0,3,0,4,0,0,0,0,0,8,0,0,0,0,2,21,6,12,0,0,0,0,4,84,
160636,Yes,2,2,2,0,0,4,0,0,0,0,0,8,0,0,0,0,2,21,2,0,0,0,1,0,8,42,
